ID,CITY,CITY_ASCII,COUNTRY
1032305174,Vera,Vera,ARG
1032310302,Baradero,Baradero,ARG
1032314483,Lobos,Lobos,ARG
1032317391,Tartagal,Tartagal,ARG
1032317566,La Banda,La Banda,ARG
1032318811,Munro,Munro,ARG
1032320584,Villa Celina,Villa Celina,ARG
1032324190,Corral de Bustos,Corral de Bustos,ARG
1032325674,General Deheza,General Deheza,ARG
1032332688,Lincoln,Lincoln,ARG
1032336288,Los Blancos,Los Blancos,ARG
1032336348,Ciudad General Belgrano,Ciudad General Belgrano,ARG
1032337881,José María Ezeiza,Jose Maria Ezeiza,ARG
1032342654,Santa Rosa de Calamuchita,Santa Rosa de Calamuchita,ARG
1032345885,Campana,Campana,ARG
1032351657,Puerto Madryn,Puerto Madryn,ARG
1032352363,Chascomús,Chascomus,ARG
1032358026,Carcarañá,Carcarana,ARG
1032365659,Zapala,Zapala,ARG
1032373353,Olavarría,Olavarria,ARG
1032374249,Villa Nueva,Villa Nueva,ARG
1032375645,Santo Tomé,Santo Tome,ARG
1032382110,Benito Juárez,Benito Juarez,ARG
1032387319,Avellaneda,Avellaneda,ARG
1032391611,El Talar de Pacheco,El Talar de Pacheco,ARG
1032392251,Victorica,Victorica,ARG
1032392383,Zárate,Zarate,ARG
1032393908,Bialet Massé,Bialet Masse,ARG
1032402027,Ingeniero Jacobacci,Ingeniero Jacobacci,ARG
1032403831,La Plata,La Plata,ARG
1032411567,Alta Gracia,Alta Gracia,ARG
1032413311,La Falda,La Falda,ARG
1032417224,Sierra Colorada,Sierra Colorada,ARG
1032418123,Trancas,Trancas,ARG
1032420901,Armstrong,Armstrong,ARG
1032421959,Choele Choel,Choele Choel,ARG
1032425368,Ramos Mejía,Ramos Mejia,ARG
1032429190,Rinconada,Rinconada,ARG
1032433516,Mendoza,Mendoza,ARG
1032439298,Justiniano Posse,Justiniano Posse,ARG
1032440034,Trelew,Trelew,ARG
1032444981,Coronel Suárez,Coronel Suarez,ARG
1032447209,Villa General Belgrano,Villa General Belgrano,ARG
1032456103,Mar del Plata,Mar del Plata,ARG
1032462589,Ezpeleta,Ezpeleta,ARG
1032464495,Presidencia Roque Sáenz Peña,Presidencia Roque Saenz Pena,ARG
1032464702,San Julián,San Julian,ARG
1032466357,Helvecia,Helvecia,ARG
1032467373,Santa Elena,Santa Elena,ARG
1032470108,Cinco Saltos,Cinco Saltos,ARG
1032471024,Río Gallegos,Rio Gallegos,ARG
1032477999,Río Segundo,Rio Segundo,ARG
1032478683,Avellaneda,Avellaneda,ARG
1032479340,Sarmiento,Sarmiento,ARG
1032481870,General Juan Madariaga,General Juan Madariaga,ARG
1032485062,Rosario del Tala,Rosario del Tala,ARG
1032489067,Esquel,Esquel,ARG
1032491643,San Francisco,San Francisco,ARG
1032492280,Santiago del Estero,Santiago del Estero,ARG
1032495336,Centenario,Centenario,ARG
1032498907,Lamarque,Lamarque,ARG
1032500630,Caseros,Caseros,ARG
1032506308,Villa Alsina,Villa Alsina,ARG
1032509324,Pico Truncado,Pico Truncado,ARG
1032509795,Bragado,Bragado,ARG
1032511298,Añatuya,Anatuya,ARG
1032523704,Gualeguaychú,Gualeguaychu,ARG
1032525768,Neuquén,Neuquen,ARG
1032526901,Tunuyán,Tunuyan,ARG
1032532362,Alto Río Senguer,Alto Rio Senguer,ARG
1032534261,General Fernández Oro,General Fernandez Oro,ARG
1032535314,Berazategui,Berazategui,ARG
1032535886,Sierra Grande,Sierra Grande,ARG
1032537209,Puerto Deseado,Puerto Deseado,ARG
